"decision_event_id","action_lifecycle_id","decision_id","action_id","action_type","action_channel","previous_state","current_state","actor_id","actor_role","human_authorised","external_reference_id","notification_id","ticket_id","evidence_pack_id","recovery_outcome_id","event_ts","audit_event"
"EVT-4001","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","","generated","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T00:00:00","decision.create_ticket.generated"
"EVT-4002","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","generated","authorised","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T02:00:00","decision.create_ticket.authorised"
"EVT-4003","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","authorised","fired","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T04:00:00","decision.create_ticket.fired"
"EVT-4004","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","fired","evidence_submitted","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T06:00:00","decision.create_ticket.evidence_submitted"
"EVT-4005","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","evidence_submitted","verified","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T08:00:00","decision.create_ticket.verified"
"EVT-4006","AL-3001","DEC-1001","ACT-2001","create_ticket","ticket","verified","closed","reviewer_01","performance_office","true","TCK-1001","NOT-5000","TCK-1001","EP-1001","REC-8000","2026-05-21T10:00:00","decision.create_ticket.closed"
"EVT-4007","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","","generated","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T00:00:00","decision.create_ticket.generated"
"EVT-4008","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","generated","authorised","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T02:00:00","decision.create_ticket.authorised"
"EVT-4009","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","authorised","fired","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T04:00:00","decision.create_ticket.fired"
"EVT-4010","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","fired","evidence_submitted","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T06:00:00","decision.create_ticket.evidence_submitted"
"EVT-4011","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","evidence_submitted","verified","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T08:00:00","decision.create_ticket.verified"
"EVT-4012","AL-3002","DEC-1002","ACT-2002","create_ticket","ticket","verified","closed","reviewer_01","performance_office","true","TCK-1002","NOT-5001","TCK-1002","EP-1002","REC-8001","2026-06-21T10:00:00","decision.create_ticket.closed"
"EVT-4013","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","","generated","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T00:00:00","decision.approve_decision.generated"
"EVT-4014","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","generated","authorised","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T02:00:00","decision.approve_decision.authorised"
"EVT-4015","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","authorised","fired","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T04:00:00","decision.approve_decision.fired"
"EVT-4016","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","fired","evidence_submitted","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T06:00:00","decision.approve_decision.evidence_submitted"
"EVT-4017","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","evidence_submitted","verified","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T08:00:00","decision.approve_decision.verified"
"EVT-4018","AL-3003","DEC-1003","ACT-2003","approve_decision","portal","verified","closed","reviewer_01","performance_office","true","EXT-1003","","","EP-1003","REC-8002","2026-05-21T10:00:00","decision.approve_decision.closed"
"EVT-4019","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","","generated","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T00:00:00","decision.approve_decision.generated"
"EVT-4020","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","generated","authorised","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T02:00:00","decision.approve_decision.authorised"
"EVT-4021","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","authorised","fired","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T04:00:00","decision.approve_decision.fired"
"EVT-4022","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","fired","evidence_submitted","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T06:00:00","decision.approve_decision.evidence_submitted"
"EVT-4023","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","evidence_submitted","verified","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T08:00:00","decision.approve_decision.verified"
"EVT-4024","AL-3004","DEC-1004","ACT-2004","approve_decision","portal","verified","closed","reviewer_01","performance_office","true","EXT-1004","","","EP-1004","REC-8003","2026-06-21T10:00:00","decision.approve_decision.closed"
"EVT-4025","AL-3005","DEC-1005","ACT-2005","email_owner","email","","generated","reviewer_01","performance_office","true","NOT-5002","NOT-5002","","EP-1005","","2026-05-21T00:00:00","decision.email_owner.generated"
"EVT-4026","AL-3005","DEC-1005","ACT-2005","email_owner","email","generated","authorised","reviewer_01","performance_office","true","NOT-5002","NOT-5002","","EP-1005","","2026-05-21T02:00:00","decision.email_owner.authorised"
"EVT-4027","AL-3005","DEC-1005","ACT-2005","email_owner","email","authorised","fired","reviewer_01","performance_office","true","NOT-5002","NOT-5002","","EP-1005","","2026-05-21T04:00:00","decision.email_owner.fired"
"EVT-4028","AL-3005","DEC-1005","ACT-2005","email_owner","email","fired","in_progress","reviewer_01","performance_office","true","NOT-5002","NOT-5002","","EP-1005","","2026-05-21T06:00:00","decision.email_owner.in_progress"
"EVT-4029","AL-3006","DEC-1006","ACT-2006","email_owner","email","","generated","reviewer_01","performance_office","true","NOT-5003","NOT-5003","","EP-1006","","2026-06-21T00:00:00","decision.email_owner.generated"
"EVT-4030","AL-3006","DEC-1006","ACT-2006","email_owner","email","generated","authorised","reviewer_01","performance_office","true","NOT-5003","NOT-5003","","EP-1006","","2026-06-21T02:00:00","decision.email_owner.authorised"
"EVT-4031","AL-3006","DEC-1006","ACT-2006","email_owner","email","authorised","fired","reviewer_01","performance_office","true","NOT-5003","NOT-5003","","EP-1006","","2026-06-21T04:00:00","decision.email_owner.fired"
"EVT-4032","AL-3006","DEC-1006","ACT-2006","email_owner","email","fired","in_progress","reviewer_01","performance_office","true","NOT-5003","NOT-5003","","EP-1006","","2026-06-21T06:00:00","decision.email_owner.in_progress"
