"kpi_result_id","municipality_id","kpi_id","month_start_date","current_value","target","threshold","state"
"KR-M001-KPI-VDQ-01-202501","M001","KPI-VDQ-01","2025-01-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202501","M001","KPI-SRC-02","2025-01-01","0.9254","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202501","M001","KPI-PIT-03","2025-01-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202501","M001","KPI-USC-04","2025-01-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202501","M001","KPI-ERR-05","2025-01-01","0.816","0.8","0.75","meeting"
"KR-M001-KPI-CSI-06-202501","M001","KPI-CSI-06","2025-01-01","0.767","0.75","0.7","meeting"
"KR-M001-KPI-VDQ-01-202502","M001","KPI-VDQ-01","2025-02-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202502","M001","KPI-SRC-02","2025-02-01","0.9265","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202502","M001","KPI-PIT-03","2025-02-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202502","M001","KPI-USC-04","2025-02-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202502","M001","KPI-ERR-05","2025-02-01","0.816","0.8","0.75","meeting"
"KR-M001-KPI-CSI-06-202502","M001","KPI-CSI-06","2025-02-01","0.767","0.75","0.7","meeting"
"KR-M001-KPI-VDQ-01-202503","M001","KPI-VDQ-01","2025-03-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202503","M001","KPI-SRC-02","2025-03-01","0.9275","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202503","M001","KPI-PIT-03","2025-03-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202503","M001","KPI-USC-04","2025-03-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202503","M001","KPI-ERR-05","2025-03-01","0.816","0.8","0.75","meeting"
"KR-M001-KPI-CSI-06-202503","M001","KPI-CSI-06","2025-03-01","0.767","0.75","0.7","meeting"
"KR-M001-KPI-VDQ-01-202504","M001","KPI-VDQ-01","2025-04-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202504","M001","KPI-SRC-02","2025-04-01","0.9286","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202504","M001","KPI-PIT-03","2025-04-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202504","M001","KPI-USC-04","2025-04-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202504","M001","KPI-ERR-05","2025-04-01","0.816","0.8","0.75","meeting"
"KR-M001-KPI-CSI-06-202504","M001","KPI-CSI-06","2025-04-01","0.767","0.75","0.7","meeting"
"KR-M001-KPI-VDQ-01-202505","M001","KPI-VDQ-01","2025-05-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202505","M001","KPI-SRC-02","2025-05-01","0.9296","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202505","M001","KPI-PIT-03","2025-05-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202505","M001","KPI-USC-04","2025-05-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202505","M001","KPI-ERR-05","2025-05-01","0.816","0.8","0.75","meeting"
"KR-M001-KPI-CSI-06-202505","M001","KPI-CSI-06","2025-05-01","0.767","0.75","0.7","meeting"
"KR-M001-KPI-VDQ-01-202506","M001","KPI-VDQ-01","2025-06-01","0.8462","0.85","0.75","approaching"
"KR-M001-KPI-SRC-02-202506","M001","KPI-SRC-02","2025-06-01","0.9306","0.9","0.85","meeting"
"KR-M001-KPI-PIT-03-202506","M001","KPI-PIT-03","2025-06-01","5.7","5","7","approaching"
"KR-M001-KPI-USC-04-202506","M001","KPI-USC-04","2025-06-01","0.947","0.95","0.93","approaching"
"KR-M001-KPI-ERR-05-202506","M001","KPI-ERR-05","2025-06-01","0.816","0.8","0.75","meeting"
