"municipality_id","municipality_name","archetype","population"
"M001","Municipality 01","mixed","54200"
"M002","Municipality 02","mixed","60400"
"M003","Municipality 03","urban","66600"
"M004","Municipality 04","mixed","72800"
"M005","Municipality 05","mixed","79000"
"M006","Municipality 06","urban","85200"
"M007","Municipality 07","mixed","91400"
"M008","Municipality 08","mixed","97600"
"M009","Municipality 09","urban","103800"
"M010","Municipality 10","mixed","110000"
"M011","Municipality 11","mixed","116200"
"M012","Municipality 12","urban","122400"
"M013","Municipality 13","mixed","128600"
"M014","Municipality 14","mixed","134800"
"M015","Municipality 15","urban","141000"
"M016","Municipality 16","mixed","147200"
"M017","Municipality 17","mixed","153400"
"M018","Municipality 18","urban","159600"
"M019","Municipality 19","mixed","165800"
"M020","Municipality 20","mixed","172000"
"M021","Municipality 21","urban","178200"
"M022","Municipality 22","mixed","184400"
"M023","Municipality 23","mixed","190600"
"M024","Municipality 24","urban","196800"
"M025","Municipality 25","mixed","203000"
