"asset_record_id","municipality_id","month_start_date","covered_population","total_population"
"COV-M001-202501","M001","2025-01-01","51327","54200"
"COV-M001-202502","M001","2025-02-01","51327","54200"
"COV-M001-202503","M001","2025-03-01","51327","54200"
"COV-M001-202504","M001","2025-04-01","51327","54200"
"COV-M001-202505","M001","2025-05-01","51327","54200"
"COV-M001-202506","M001","2025-06-01","51327","54200"
"COV-M001-202507","M001","2025-07-01","51327","54200"
"COV-M001-202508","M001","2025-08-01","51327","54200"
"COV-M001-202509","M001","2025-09-01","51327","54200"
"COV-M001-202510","M001","2025-10-01","51327","54200"
"COV-M001-202511","M001","2025-11-01","51327","54200"
"COV-M001-202512","M001","2025-12-01","51327","54200"
"COV-M001-202601","M001","2026-01-01","51327","54200"
"COV-M001-202602","M001","2026-02-01","51327","54200"
"COV-M001-202603","M001","2026-03-01","51327","54200"
"COV-M001-202604","M001","2026-04-01","51327","54200"
"COV-M001-202605","M001","2026-05-01","51327","54200"
"COV-M001-202606","M001","2026-06-01","51327","54200"
"COV-M002-202501","M002","2025-01-01","57018","60400"
"COV-M002-202502","M002","2025-02-01","57018","60400"
"COV-M002-202503","M002","2025-03-01","57018","60400"
"COV-M002-202504","M002","2025-04-01","57018","60400"
"COV-M002-202505","M002","2025-05-01","57018","60400"
"COV-M002-202506","M002","2025-06-01","57018","60400"
"COV-M002-202507","M002","2025-07-01","57018","60400"
"COV-M002-202508","M002","2025-08-01","57018","60400"
"COV-M002-202509","M002","2025-09-01","57018","60400"
"COV-M002-202510","M002","2025-10-01","57018","60400"
"COV-M002-202511","M002","2025-11-01","57018","60400"
"COV-M002-202512","M002","2025-12-01","57018","60400"
"COV-M002-202601","M002","2026-01-01","57018","60400"
"COV-M002-202602","M002","2026-02-01","57018","60400"
"COV-M002-202603","M002","2026-03-01","57018","60400"
"COV-M002-202604","M002","2026-04-01","57018","60400"
"COV-M002-202605","M002","2026-05-01","57018","60400"
"COV-M002-202606","M002","2026-06-01","57018","60400"
"COV-M003-202501","M003","2025-01-01","63270","66600"
"COV-M003-202502","M003","2025-02-01","63270","66600"
"COV-M003-202503","M003","2025-03-01","63270","66600"
"COV-M003-202504","M003","2025-04-01","63270","66600"
"COV-M003-202505","M003","2025-05-01","63270","66600"
"COV-M003-202506","M003","2025-06-01","63270","66600"
"COV-M003-202507","M003","2025-07-01","63270","66600"
"COV-M003-202508","M003","2025-08-01","63270","66600"
"COV-M003-202509","M003","2025-09-01","63270","66600"
"COV-M003-202510","M003","2025-10-01","63270","66600"
"COV-M003-202511","M003","2025-11-01","63270","66600"
"COV-M003-202512","M003","2025-12-01","63270","66600"
"COV-M003-202601","M003","2026-01-01","63270","66600"
"COV-M003-202602","M003","2026-02-01","63270","66600"
"COV-M003-202603","M003","2026-03-01","59940","66600"
"COV-M003-202604","M003","2026-04-01","59940","66600"
"COV-M003-202605","M003","2026-05-01","61938","66600"
"COV-M003-202606","M003","2026-06-01","61938","66600"
"COV-M004-202501","M004","2025-01-01","68942","72800"
"COV-M004-202502","M004","2025-02-01","68942","72800"
"COV-M004-202503","M004","2025-03-01","68942","72800"
"COV-M004-202504","M004","2025-04-01","68942","72800"
"COV-M004-202505","M004","2025-05-01","68942","72800"
"COV-M004-202506","M004","2025-06-01","68942","72800"
"COV-M004-202507","M004","2025-07-01","68942","72800"
"COV-M004-202508","M004","2025-08-01","68942","72800"
"COV-M004-202509","M004","2025-09-01","68942","72800"
"COV-M004-202510","M004","2025-10-01","68942","72800"
"COV-M004-202511","M004","2025-11-01","68942","72800"
"COV-M004-202512","M004","2025-12-01","68942","72800"
"COV-M004-202601","M004","2026-01-01","68942","72800"
"COV-M004-202602","M004","2026-02-01","68942","72800"
"COV-M004-202603","M004","2026-03-01","68942","72800"
"COV-M004-202604","M004","2026-04-01","68942","72800"
"COV-M004-202605","M004","2026-05-01","68942","72800"
"COV-M004-202606","M004","2026-06-01","68942","72800"
"COV-M005-202501","M005","2025-01-01","74576","79000"
"COV-M005-202502","M005","2025-02-01","74576","79000"
"COV-M005-202503","M005","2025-03-01","74576","79000"
"COV-M005-202504","M005","2025-04-01","74576","79000"
"COV-M005-202505","M005","2025-05-01","74576","79000"
"COV-M005-202506","M005","2025-06-01","74576","79000"
"COV-M005-202507","M005","2025-07-01","74576","79000"
"COV-M005-202508","M005","2025-08-01","74576","79000"
"COV-M005-202509","M005","2025-09-01","74576","79000"
"COV-M005-202510","M005","2025-10-01","74576","79000"
"COV-M005-202511","M005","2025-11-01","74576","79000"
"COV-M005-202512","M005","2025-12-01","74576","79000"
