"service_request_id","municipality_id","month_start_date","created_at","completed_at","requests_received","requests_rejected","requests_completed_within_sla","requests_completed","reopen_rate","avg_request_satisfaction_score"
"SR-M001-202501","M001","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","72","5","62","65","0.06","0.775"
"SR-M001-202502","M001","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","73","5","63","66","0.06","0.775"
"SR-M001-202503","M001","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","74","5","64","67","0.06","0.775"
"SR-M001-202504","M001","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","75","5","65","68","0.06","0.775"
"SR-M001-202505","M001","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","76","5","66","69","0.06","0.775"
"SR-M001-202506","M001","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","77","5","67","70","0.06","0.775"
"SR-M001-202507","M001","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","78","5","68","71","0.06","0.775"
"SR-M001-202508","M001","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","79","5","69","72","0.06","0.775"
"SR-M001-202509","M001","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","80","5","70","73","0.06","0.775"
"SR-M001-202510","M001","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","81","5","71","74","0.06","0.775"
"SR-M001-202511","M001","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","82","5","72","75","0.06","0.775"
"SR-M001-202512","M001","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","83","5","73","76","0.06","0.775"
"SR-M001-202601","M001","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","72","5","62","65","0.06","0.775"
"SR-M001-202602","M001","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","73","5","63","66","0.06","0.775"
"SR-M001-202603","M001","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","74","5","64","67","0.06","0.775"
"SR-M001-202604","M001","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","75","5","65","68","0.06","0.775"
"SR-M001-202605","M001","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","76","5","66","69","0.06","0.775"
"SR-M001-202606","M001","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","77","5","67","70","0.06","0.775"
"SR-M002-202501","M002","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","73","6","62","65","0.07","0.77"
"SR-M002-202502","M002","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","74","6","63","66","0.07","0.77"
"SR-M002-202503","M002","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","75","6","64","67","0.07","0.77"
"SR-M002-202504","M002","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","76","6","65","68","0.07","0.77"
"SR-M002-202505","M002","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","77","6","66","69","0.07","0.77"
"SR-M002-202506","M002","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","78","6","67","70","0.07","0.77"
"SR-M002-202507","M002","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","79","6","68","71","0.07","0.77"
"SR-M002-202508","M002","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","80","6","69","72","0.07","0.77"
"SR-M002-202509","M002","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","81","6","70","73","0.07","0.77"
"SR-M002-202510","M002","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","82","6","71","74","0.07","0.77"
"SR-M002-202511","M002","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","83","6","72","75","0.07","0.77"
"SR-M002-202512","M002","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","84","6","73","76","0.07","0.77"
"SR-M002-202601","M002","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","73","6","62","65","0.07","0.77"
"SR-M002-202602","M002","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","74","6","63","66","0.07","0.77"
"SR-M002-202603","M002","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","75","6","64","67","0.07","0.77"
"SR-M002-202604","M002","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","76","6","65","68","0.07","0.77"
"SR-M002-202605","M002","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","77","6","66","69","0.07","0.77"
"SR-M002-202606","M002","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","78","6","67","70","0.07","0.77"
"SR-M003-202501","M003","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","74","4","65","68","0.08","0.765"
"SR-M003-202502","M003","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","75","4","66","69","0.08","0.765"
"SR-M003-202503","M003","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","76","4","67","70","0.08","0.765"
"SR-M003-202504","M003","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","77","4","68","71","0.08","0.765"
"SR-M003-202505","M003","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","78","4","69","72","0.08","0.765"
"SR-M003-202506","M003","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","79","4","70","73","0.08","0.765"
"SR-M003-202507","M003","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","80","4","71","74","0.08","0.765"
