"case_id","municipality_id","month_start_date","opened_at","closed_at","cases_closed","cases_meeting_quality_bar","case_priority","quality_bar_met"
"CASE-M001-202501","M001","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","13","11","normal","false"
"CASE-M001-202502","M001","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","13","11","normal","false"
"CASE-M001-202503","M001","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","13","11","normal","false"
"CASE-M001-202504","M001","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","13","11","normal","false"
"CASE-M001-202505","M001","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","13","11","normal","false"
"CASE-M001-202506","M001","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","13","11","normal","false"
"CASE-M001-202507","M001","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","13","11","normal","false"
"CASE-M001-202508","M001","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","13","11","normal","false"
"CASE-M001-202509","M001","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","13","11","normal","false"
"CASE-M001-202510","M001","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","13","11","normal","false"
"CASE-M001-202511","M001","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","13","11","normal","false"
"CASE-M001-202512","M001","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","13","11","normal","false"
"CASE-M001-202601","M001","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","13","11","normal","false"
"CASE-M001-202602","M001","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","13","11","normal","false"
"CASE-M001-202603","M001","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","13","11","normal","false"
"CASE-M001-202604","M001","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","13","11","normal","false"
"CASE-M001-202605","M001","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","13","11","normal","false"
"CASE-M001-202606","M001","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","13","11","normal","false"
